Category,Department + Course Number,Distributions
CA,CLASS 2646,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,CLASS 2685,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,CLASS 2710,"['ALC-AS', 'CA-AS']"
CA,CLASS 2743,"['CA-AS', 'ALC-AS']"
CA,CLASS 3735,"['ALC-AS', 'CA-AS']"
CA,CLASS 3738,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,CLASS 3741,"['ALC-AS', 'CA-AS']"
CA,CLASS 3802,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,CLASS 4632,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,CLASS 4644,"['ALC-AS', 'CA-AS']"
CA,CLASS 4670,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,CLASS 4677,"['CA-AS', 'ETM-AS', 'HST-AS']"
CA,CLASS 4702,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,CLASS 4755,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,CLASS 4756,"['CA-AS', 'ALC-AS']"
CA,CLASS 4803,"['CA-AS', 'ALC-AS']"
CA,COGST 1212,"['CA-AS', 'ALC-AS']"
CA,COML 2004,"['CA-AS', 'ALC-AS']"
CA,COML 2006,"['ALC-AS', 'CA-AS']"
CA,COML 2009,"['CA-AS', 'ALC-AS']"
CA,COML 2035,"['ALC-AS', 'CA-AS']"
CA,COML 2036,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,COML 2235,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,COML 2241,"['ALC-AS', 'CA-AS']"
CA,COML 2523,"['CA-AS', 'GLC-AS', 'HST-AS']"
CA,COML 2703,"['CA-AS', 'ALC-AS']"
CA,COML 3006,"['CA-AS', 'ALC-AS']"
CA,COML 3017,"['CA-AS', 'ALC-AS']"
CA,COML 3112,['CA-AS']
CA,COML 3240,"['CA-AS', 'ALC-AS']"
CA,COML 3262,"['CA-AS', 'ALC-AS']"
CA,COML 3264,"['CA-AS', 'GLC-AS']"
CA,COML 3300,"['CA-AS', 'ALC-AS', 'ETM-AS']"
CA,COML 3336,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,COML 3458,"['CA-AS', 'ALC-AS']"
CA,COML 3512,"['CA-AS', 'ALC-AS']"
CA,COML 3542,"['CA-AS', 'ALC-AS', 'ETM-AS']"
CA,COML 3580,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,COML 3743,"['CA-AS', 'GLC-AS']"
CA,COML 3780,"['CA-AS', 'ETM-AS', 'GLC-AS']"
CA,COML 4240,"['CA-AS', 'ALC-AS', 'ETM-AS']"
CA,COML 4250,"['CA-AS', 'ALC-AS', 'ETM-AS']"
CA,COML 4251,"['CA-AS', 'ALC-AS', 'ETM-AS']"
CA,COML 4281,"['ALC-AS', 'CA-AS']"
CA,COML 4312,"['ALC-AS', 'CA-AS']"
CA,COML 4353,"['CA-AS', 'ALC-AS']"
CA,COML 4423,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,COML 4429,"['CA-AS', 'ALC-AS', 'HST-AS']"
